title,country,genres,language,writer_count,title_adaption,censor_rating,release_date,runtime,dvd_release_date,users_votes,comments,likes,overall_views,dislikes,ratings_imdb,ratings_tomatoes,ratings_metacritic,special_award,awards_win,awards_nomination,revenue_category
M ,Germany,"Crime, Mystery, Thriller",German,2,FALSE,Not Rated,31/08/1931,99 min,20/10/1998,"1,28,592",29,619,120522,42,8.3/10,100%,0,0,2,0,Low
"Wizard of Oz, The ",USA,"Adventure, Family, Fantasy, Musical",English,5,TRUE,PG,25/08/1939,102 min,19/10/1999,"3,51,526",6,44,38177,2,8.0/10,98%,100/100,1,7,14,Low
"Fallen Idol, The ",UK,"Drama, Film-Noir, Mystery","English, French",4,TRUE,NOT RATED,25/10/1948,95 min,07/11/2006,"6,306",2,37,12365,4,7.8/10,100%,88/100,1,7,5,Low
Forbidden Games ,France,"Drama, War",French,8,TRUE,Not Rated,08/12/1952,86 min,06/12/2005,"9,933",5,88,28072,1,8.0/10,100%,0,1,8,0,Low
Little Fugitive ,USA,"Drama, Family",English,4,TRUE,Not Rated,16/12/1953,80 min,12/10/1999,"2,118",11,23,14768,1,7.6/10,93%,91/100,1,4,2,Low
Ugetsu ,Japan,"Drama, Fantasy, War",Japanese,4,TRUE,Not Rated,07/09/1954,96 min,08/11/2005,"17,992",,,,,8.2/10,100%,0,1,4,1,Low
Rififi ,France,"Crime, Thriller","French, Italian, English",5,TRUE,Not Rated,05/06/1956,118 min,24/04/2001,"22,694",7,36,37387,5,8.2/10,94%,97/100,0,6,1,Low
"Housemaid, The ",South Korea,"Crime, Drama, Thriller",Korean,1,FALSE,Not Rated,03/11/1960,109 min,,"2,498",1,11,31488,3,7.3/10,0,0,0,0,0,Low
Breathless ,France,"Crime, Drama","French, English",1,FALSE,Not Rated,07/02/1961,90 min,20/11/2001,"64,385",,,,,7.9/10,97%,0,1,4,2,Low
"Night, The ","Italy, France",Drama,"Italian, English, French",6,TRUE,Not Rated,19/02/1962,122 min,08/05/2001,"15,131",38,523,190746,12,8.0/10,82%,0,0,6,1,Low
"Kind of Loving, A ",UK,"Drama, Romance","English, German",3,TRUE,Not Rated,01/10/1962,112 min,20/08/1986,"1,308",3,30,18753,2,7.4/10,100%,0,1,1,0,Low
"Servant, The ",UK,Drama,English,2,TRUE,UNRATED,16/03/1964,116 min,22/03/2003,"7,756",10,82,45937,6,7.9/10,89%,93/100,1,5,8,Low
Band of Outsiders ,France,"Comedy, Crime, Drama","French, English",1,TRUE,Not Rated,05/08/1964,95 min,07/01/2003,"19,992",24,554,58189,3,7.8/10,94%,88/100,0,0,0,Low
Contempt ,"France, Italy","Drama, Romance","French, English, German, Italian",1,TRUE,Not Rated,18/12/1964,102 min,26/11/2002,"24,801",43,806,141351,6,7.7/10,94%,0,0,0,0,Low
"Battle of Algiers, The ","Italy, Algeria","Drama, War","French, Arabic, English",3,TRUE,Not Rated,20/09/1967,121 min,21/09/2004,"47,085",,806,343208,20,8.1/10,98%,95/100,1,9,5,Low
"I Love You, I Love You ",France,"Drama, Sci-Fi","French, Dutch, English",1,FALSE,,24/04/1968,91 min,,"2,141",8,190,77787,6,7.3/10,86%,0,0,2,0,Low
